entity_code,MAPE_test
AL,0.17667197275702892
AT,0.09574320937012813
AU_NSW,0.13003796476559668
AU_QLD,0.14011208217787868
AU_SA,0.28145215538484
AU_TAS,0.10067028447706826
AU_VIC,0.12769214314831365
AU_WA,0.16593010766591473
BA,0.17886290960074105
BE,0.028361245245714352
BG,0.14401568216057167
BR_N,0.0755055564254724
BR_NE,0.08752447501252027
BR_S,0.06134218013307589
BR_SE,0.06097351310189689
CA_AB,0.19460693169304288
CA_BC,0.0720167652531421
CA_NB,0.13987659556374454
CA_NL,0.17771218175491296
CA_NS,0.12166673451506735
CA_ON,0.11665416231050241
CA_PE,0.11277857684004292
CA_QC,0.11628617345941082
CA_YT,0.11290380281856523
CH,0.12015261806041096
CL,0.053479919527152225
CN,0.12293109213181175
CO,0.06764665856555915
CY,0.15392311579133997
CZ,0.08811870356438552
DE,0.06251214144841051
DK,0.10727613134485917
DZ,0.06449737173259718
EE,0.13533367175914846
ES,0.04718502071685285
FI,0.10271752348297433
FR,0.02224564925301869
GB,0.0750674207900038
GB_GB,0.09358805672320196
GE,0.09658517036089177
GR,0.08967953761332384
HR,0.09842266976003745
HU,0.10287257652711441
IE,0.03522867108442691
IN,0.07772227726137919
IT,0.08664574080495474
JP_Kantō,0.11142011609688499
KR,0.07703284730910182
LT,0.04651344927764629
LU,0.06699112245751068
LV,0.10622159178868909
MD,0.10570714889764814
ME,0.15977839325281729
MK,0.11211850369032791
MX_BCA,0.19168794257238425
MX_BCS,0.1611669423849469
MX_CEN,0.08688460832754294
MX_NES,0.12460472702743025
MX_NOR,0.21186556034157497
MX_NTE,0.1482191028621365
MX_OCC,0.09935564959618463
MX_ORI,0.1376291759856077
MX_PEN,0.07415488374462378
NG,0.1352195715035247
NL,0.04563869774742663
NO,0.07418813905239452
NZ,0.10395574943444509
PE,0.0237713443017733
PH,0.0849696397039501
PK,0.15053626006336243
PL,0.052256954976145686
PT,0.12047640631233439
RO,0.07407170098145535
RS,0.10497631965820856
SE,0.06316770311056646
SI,0.12879382979661086
SK,0.05199935653556838
TR,0.09337564270738652
TW,0.12202341639414574
UA,0.10567271810853805
US_CAL,0.14173511560853344
US_CAR,0.09917073203420068
US_CENT,0.09488091643807187
US_FLA,0.14303012650067587
US_MIDA,0.08721422615404692
US_MIDW,0.1127236169354533
US_NE,0.1567617660429915
US_NW,0.050632364920047745
US_NY,0.10556345357912605
US_SE,0.13159701601223045
US_SW,0.115680762332595
US_TEN,0.07281020845076044
US_TEX,0.09265426333573436
XK,0.11187413983969058
ZA,0.08734099344125011
