,region_code,MAPE
0,AT,0.07700796071979343
1,AU_NSW,0.055295892474717355
2,AU_QLD,0.04657520270526581
3,AU_SA,0.08960368430316565
4,AU_TAS,0.06473038337916028
5,AU_VIC,0.055685902242469845
6,AU_WA,0.0699819579250406
7,BE,0.05052782926714796
8,BG,0.0884080429176576
9,CA_AB,0.047485257765207275
10,CA_BC,0.05330756048821266
11,CA_NB,0.12380309137018322
12,CA_ON,0.06589221602526585
13,CA_PE,0.06690183792506386
14,CH,0.06867705639335607
15,CL,0.07313380459663679
16,CY,0.09668112772470792
17,CZ,0.05690556027260186
18,DE,0.0675724065167691
19,DK,0.07028146240037798
20,EE,0.07277887770764573
21,ES,0.0663349419677059
22,FI,0.05965780986456459
23,FR,0.11823728403143907
24,GB,0.07654280182254099
25,GB_GB,0.07493274056062213
26,GR,0.07256749195926625
27,HR,0.076678009480025
28,HU,0.04937015395038815
29,IE,0.06916108981579598
30,IT,0.10643071195446686
31,JP_Kantō,0.06870790221038049
32,KR,0.056873871537810254
33,LT,0.07075366413468892
34,LU,0.10478281585067223
35,LV,0.07650831423744069
36,NL,0.08583308264794384
37,NO,0.09250318259463354
38,NZ,0.0571600310277575
39,PL,0.05879685916250712
40,PT,0.07289590807403526
41,RO,0.05552375039703088
42,SE,0.08632438030032719
43,SI,0.06843938304988904
44,SK,0.04355435620804895
45,TW,0.07635183437108965
