,region_code,MAPE
0,AL,0.21241338022245637
1,BA,0.10584264055747981
2,BR_N,0.04798795755716631
3,BR_NE,0.056923574586884164
4,BR_S,0.08826703864392256
5,BR_SE,0.06141875297016185
6,DZ,0.08926876570259017
7,GE,0.05785985776441372
8,MD,0.1028466295201814
9,ME,0.09331883109676203
10,MK,0.10651889246308416
11,MX_BCA,0.1169550746764816
12,MX_BCS,0.08598654705939786
13,MX_CEN,0.11085208325619515
14,MX_NES,0.07765380430354071
15,MX_NOR,0.12356256293275074
16,MX_NTE,0.09829989669499663
17,MX_OCC,0.11494569636101688
18,MX_ORI,0.0882783715906371
19,MX_PEN,0.14040427985862022
20,PE,0.04889996994519521
21,RS,0.07686616076745705
22,TR,0.06543455606287059
23,UA,0.058377884217287936
24,XK,0.1348313185738243
25,ZA,0.11071691895380517
