,entity_code,MAPE_test
0,AL,0.1372368987204708
1,AT,0.08108922291350562
2,BA,0.15591857695481393
3,BE,0.04800476288386018
4,BG,0.0821823290873026
5,CH,0.09133767744718793
6,CZ,0.06775560332186667
7,DE,0.0634726021941872
8,DK,0.07053492818016417
9,EE,0.08666077705237425
10,ES,0.011031610533711732
11,FI,0.07575495096640561
12,FR,0.011031610533711732
13,GB,0.07616272499684733
14,GB_GB,0.08318728341094601
15,GR,0.09924214085042667
16,HR,0.1024352804236442
17,HU,0.08848065341622642
18,IE,0.04164837422659231
19,IT,0.1042935064434635
20,LT,0.06504810731694795
21,LU,0.06407842817812848
22,LV,0.05628788021372474
23,MD,0.09862999913874332
24,ME,0.16195432548611555
25,MK,0.04748183130251063
26,NL,0.05206037276084499
27,NO,0.07336755915303866
28,PL,0.06154496396879926
29,PT,0.07054824896862194
30,RO,0.08365742640903821
31,RS,0.059793552071834496
32,SE,0.09206231184790849
33,SI,0.10512261525394939
34,SK,0.04967434912675515
35,UA,0.11378443788032495
36,XK,0.059793552071834496
