,entity_code,MAPE_test
0,AL,0.1846358115002987
1,BA,0.1569211034115608
2,BR_N,0.04613895042963791
3,BR_NE,0.04692974610328804
4,BR_S,0.08584336532350784
5,BR_SE,0.05453991020600532
6,CN,0.0744930293467922
7,CO,0.048270099491157584
8,DZ,0.09846094271356035
9,GE,0.08458496321267792
10,MD,0.11071967542973693
11,ME,0.14671423305599826
12,MK,0.12380993426536453
13,MX_BCA,0.15710397658913772
14,MX_BCS,0.12483097650244426
15,MX_CEN,0.050714263358139576
16,MX_NES,0.08893426286237893
17,MX_NOR,0.17951570884295961
18,MX_NTE,0.10569228319373271
19,MX_OCC,0.07213854202695726
20,MX_ORI,0.09079843759441983
21,MX_PEN,0.09918333532442593
22,PE,0.04845535924931861
23,RS,0.14362841660344275
24,TR,0.07558005135559642
25,UA,0.11843180629767694
26,XK,0.14362841660344275
27,ZA,0.12032965633255913
