,entity_code,MAPE_test
0,AL,0.15058783787452978
1,AT,0.08104806914070335
2,AU_NSW,0.11910503083517263
3,AU_QLD,0.1147980156025821
4,AU_SA,0.27767707023075056
5,AU_TAS,0.09348631172131186
6,AU_VIC,0.14014800121138357
7,AU_WA,0.18367340862003131
8,BA,0.16441500759771746
9,BE,0.049003837341478645
10,BG,0.10396680280379486
11,BR_N,0.05819615517564391
12,BR_NE,0.05170724634924606
13,BR_S,0.08355735429367313
14,BR_SE,0.06670053358808811
15,CA_AB,0.19475227710825088
16,CA_BC,0.058745278268240025
17,CA_NB,0.09923697335723482
18,CA_NL,0.1543216769016903
19,CA_NS,0.10085137971973494
20,CA_ON,0.07569875267249664
21,CA_PE,0.10492468572872397
22,CA_QC,0.11514403203683403
23,CA_YT,0.1269395005222451
24,CH,0.09423797069144778
25,CL,0.06938208915773102
26,CN,0.09138528423798993
27,CO,0.05656188201737737
28,CY,0.11546361015609577
29,CZ,0.07154452144964754
30,DE,0.06651142297819347
31,DK,0.0710132100561445
32,DZ,0.07256461541384668
33,EE,0.10219855614396374
34,ES,0.025994006246079865
35,FI,0.06834063014091846
36,FR,0.025994006246079865
37,GB,0.08002375253125356
38,GB_GB,0.09856336771894905
39,GE,0.08577058501465808
40,GR,0.09292824548819922
41,HR,0.08246136562066066
42,HU,0.08710233045013249
43,IE,0.047238700425843584
44,IN,0.09359819564562342
45,IT,0.10221865916813673
46,JP_Kantō,0.08763299290336761
47,KR,0.07705353092549101
48,LT,0.06611142142815625
49,LU,0.06660297577825408
50,LV,0.0635542221394065
51,MD,0.0910281712168671
52,ME,0.15385015131104718
53,MK,0.0808919620243773
54,MX_BCA,0.16890214048745875
55,MX_BCS,0.11620858416025262
56,MX_CEN,0.05597073023758073
57,MX_NES,0.09975904081083252
58,MX_NOR,0.195061325278893
59,MX_NTE,0.10345466489833778
60,MX_OCC,0.09023662561358654
61,MX_ORI,0.11272537596607582
62,MX_PEN,0.09588282016438318
63,NG,0.09183566110265472
64,NL,0.04604203274334611
65,NO,0.07633724735732893
66,NZ,0.06622352064743299
67,PE,0.0477280680034868
68,PH,0.061433310651351235
69,PK,0.1488319247684191
70,PL,0.0638596145770117
71,PT,0.08518510465166865
72,RO,0.08953471885676045
73,RS,0.0808919620243773
74,SE,0.08355471678425488
75,SI,0.10510624862678675
76,SK,0.050158395079042614
77,TR,0.09646434291815814
78,TW,0.08083552563118472
79,UA,0.09161190837607126
80,US_CAL,0.10143719139900935
81,US_CAR,0.09087125516834767
82,US_CENT,0.10033143321989786
83,US_FLA,0.11773128195039755
84,US_MIDA,0.0997094460477713
85,US_MIDW,0.10866460639553824
86,US_NE,0.11789564832853083
87,US_NW,0.07094351032256938
88,US_NY,0.09560616443864457
89,US_SE,0.08736202802666541
90,US_SW,0.10957954965513213
91,US_TEN,0.08010379967722653
92,US_TEX,0.07254301379365323
93,XK,0.0808919620243773
94,ZA,0.10407637393522073
