,region_code,MAPE
0,AT,0.07453325582346645
1,AU_NSW,0.060156702732338946
2,AU_QLD,0.05508452818410748
3,AU_SA,0.10682063795242666
4,AU_TAS,0.0679276952927069
5,AU_VIC,0.06094152943863717
6,AU_WA,0.0856060913306281
7,BE,0.0517183066760981
8,BG,0.0884433011753922
9,CA_AB,0.05313789868797688
10,CA_BC,0.05547252601432784
11,CA_NB,0.10107032968630439
12,CA_NL,0.13701179457305646
13,CA_NS,0.08702828547946623
14,CA_ON,0.06629238888156669
15,CA_PE,0.0673205607523408
16,CA_QC,0.1194472473799967
17,CH,0.07502342487929677
18,CL,0.07143274339167313
19,CY,0.10307691247443757
20,CZ,0.059347975356417296
21,DE,0.06634904097695175
22,DK,0.06436152124455702
23,EE,0.06718581955415495
24,ES,0.06884796844114008
25,FI,0.0556174219179554
26,FR,0.11409271487823074
27,GB,0.07954565824946322
28,GB_GB,0.07790444216197018
29,GR,0.07805933999598214
30,HR,0.07550390694202982
31,HU,0.05506808512566065
32,IE,0.0644211402262285
33,IT,0.10760971321315616
34,JP_Kantō,0.06923926858533727
35,KR,0.05710211659765194
36,LT,0.07097485421751419
37,LU,0.08223523605058501
38,LV,0.0746240610819587
39,NL,0.08183047744576104
40,NO,0.085791164317145
41,NZ,0.06159284642853929
42,PL,0.05979501898810022
43,PT,0.07519636562930063
44,RO,0.05714776745746825
45,SE,0.08075205699094444
46,SI,0.07074932876441221
47,SK,0.04893585549645745
48,TW,0.06877710286744144
49,US_CAL,0.11120588035832725
50,US_CAR,0.08334930274283005
51,US_CENT,0.08976680220564194
52,US_FLA,0.11477889120375868
53,US_MIDA,0.0917824124455505
54,US_MIDW,0.09589135786950831
55,US_NE,0.1055358376458754
56,US_NW,0.060658417455587074
57,US_NY,0.0890445269886719
58,US_SE,0.09355428661653747
59,US_SW,0.1052824849425678
60,US_TEN,0.07671232241080485
61,US_TEX,0.06774043732427315
