,entity_code,MAPE_test
0,CA_AB,0.19422781747603754
1,CA_BC,0.04660704563499404
2,CA_NB,0.1076391402475685
3,CA_NL,0.16877106106454992
4,CA_NS,0.10561357332825128
5,CA_ON,0.06079250431854448
6,CA_PE,0.11145189591659194
7,CA_QC,0.11972900586323701
8,CA_YT,0.12311970695240682
9,MX_BCA,0.12239859669920643
10,MX_BCS,0.09653354123510755
11,MX_CEN,0.08012996131459126
12,MX_NES,0.07701786707279164
13,MX_NOR,0.1807083397208602
14,MX_NTE,0.1026598651536137
15,MX_OCC,0.0866783772123811
16,MX_ORI,0.09040631259610017
17,MX_PEN,0.09613510440882156
18,US_CAL,0.07566057889388662
19,US_CAR,0.08318914131466544
20,US_CENT,0.05917805877196255
21,US_FLA,0.12693161959988
22,US_MIDA,0.052872438960747406
23,US_MIDW,0.08748284830231488
24,US_NE,0.08853469866569126
25,US_NW,0.04539697056542995
26,US_NY,0.057461134911125686
27,US_SE,0.07054319861938656
28,US_SW,0.1219397318846802
29,US_TEN,0.0836805209607608
30,US_TEX,0.0720098603368668
