,group_id,train_MAPE,test_MAPE,fit_time,score_time
0,AL,197544.70792022962,0.3022834308563949,13.653185606002808,0.012164115905761719
1,AT,195416.66529599676,0.0846383297148678,13.542260646820068,0.02222132682800293
2,AU_NSW,199660.02752114777,0.07524182162965672,13.173382043838501,0.06863260269165039
3,AU_QLD,198450.3323401526,0.07089633601631634,12.956160306930542,0.04348182678222656
4,AU_SA,198514.96182945478,0.21816412440584623,12.25316834449768,0.04496002197265625
5,AU_TAS,200593.00316108885,0.07977461699508037,10.987783670425415,0.056940317153930664
6,AU_VIC,201497.80772467927,0.0771634653639229,11.21830701828003,0.05916738510131836
7,AU_WA,199838.69292027634,0.11084193846911536,11.217911720275879,0.03866267204284668
8,BA,195706.6819421666,0.14650085989644707,10.964333772659302,0.017722129821777344
9,BE,198304.53433924797,0.056735981202891674,11.29995083808899,0.029018163681030273
10,BG,198937.8485758157,0.09176780130218441,11.235586881637573,0.02304387092590332
11,BR_N,202130.2948834549,0.08164641604646479,11.044891357421875,0.048506736755371094
12,BR_NE,202843.81398041855,0.07527142762936007,12.77256727218628,0.0481870174407959
13,BR_S,201100.11586574838,0.10297393442442393,14.050097942352295,0.08433771133422852
14,BR_SE,201919.43337550896,0.0738188428645925,13.762418746948242,0.04380393028259277
15,CA_AB,196213.15512051506,0.10589082158452522,14.825535535812378,0.03125929832458496
16,CA_BC,197943.53023942086,0.05626127457082088,13.799591302871704,0.07033824920654297
17,CA_NB,197566.15854286772,0.1131926545175522,12.671161413192749,0.02306079864501953
18,CA_NL,194589.6576349474,0.16309504560761393,12.470039367675781,0.010605335235595703
19,CA_NS,195006.56269307528,0.08831411200231454,14.496046304702759,0.016869068145751953
20,CA_ON,200994.38068386522,0.08562013825632947,13.350347995758057,0.06151223182678223
21,CA_PE,196415.33285527828,0.09883920869310037,11.376092195510864,0.02359175682067871
22,CA_QC,196917.8266661476,0.14419427367926652,11.714416027069092,0.01683807373046875
23,CA_YT,198682.72208022547,0.16026155485882362,11.698571681976318,0.005284309387207031
24,CH,197048.01809928464,0.0816140423404709,11.26121735572815,0.02554488182067871
25,CL,199993.0347522631,0.08557839084944964,11.324106693267822,0.046378374099731445
26,CN,196826.9059426934,0.11199374313145333,11.258768796920776,0.00828409194946289
27,CO,199566.16393299785,0.0778409020281057,11.167442560195923,0.03695178031921387
28,CY,198578.66139936043,0.1319078566902699,11.735780954360962,0.0279695987701416
29,CZ,199295.88107797824,0.06755177715848863,11.194239616394043,0.022859811782836914
30,DE,197998.43286226905,0.07332503901201572,11.291060209274292,0.02008986473083496
31,DK,195921.93260030381,0.06943697460146282,11.818826675415039,0.021928071975708008
32,DZ,197079.1500507866,0.09319825233226588,11.178141832351685,0.024240493774414062
33,EE,196614.58780702588,0.07879937255862351,10.948144674301147,0.03415942192077637
34,ES,198622.1226558958,0.0804327557457688,10.925052404403687,0.025688886642456055
35,FI,199055.64518820654,0.05970874483530026,11.78620171546936,0.023607969284057617
36,FR,195701.21680566695,0.11881498618592727,11.455564737319946,0.0218203067779541
37,GB,195387.1665260656,0.09934325418455703,11.520583629608154,0.017598390579223633
38,GB_GB,199915.16148629301,0.08699451457653863,11.318768978118896,0.034273624420166016
39,GE,193479.02084492508,0.07906874366315467,12.094555616378784,0.009505748748779297
40,GR,195255.85632506947,0.08931630989862621,10.812489032745361,0.019905805587768555
41,HR,193799.90847950865,0.07418319069715197,12.037019491195679,0.022435903549194336
42,HU,195852.824385162,0.06611379692930003,12.152323007583618,0.027472257614135742
43,IE,197737.24332256144,0.06264276606604036,11.807486057281494,0.02263808250427246
44,IN,195854.93840763645,0.12117209155707599,11.043153762817383,0.017934799194335938
45,IT,196633.9478005319,0.12453087602638706,11.34520411491394,0.02240300178527832
46,JP_Kantō,196745.77807295506,0.08387720447857211,16.197479009628296,0.01784968376159668
47,KR,200043.5817776501,0.07296052872119707,12.013439416885376,0.02691817283630371
48,LT,198561.8278791008,0.0796787344889376,11.194943904876709,0.021602630615234375
49,LU,197041.50706963745,0.08819616592011331,12.619051933288574,0.040047645568847656
50,LV,196824.41679395712,0.08266124893799795,12.54945421218872,0.0221707820892334
51,MD,197304.2075788992,0.09660730039145396,13.529295206069946,0.017969369888305664
52,ME,199972.97532658943,0.12407417455599323,11.136460542678833,0.020650863647460938
53,MK,198831.05739313536,0.2014348431415675,11.077030420303345,0.0396270751953125
54,MX_BCA,195715.96289386266,0.1777614161445563,11.49526309967041,0.021317720413208008
55,MX_BCS,198727.83180344632,0.14782108026595064,11.200421571731567,0.020380735397338867
56,MX_CEN,195877.28273474565,0.1155840967673209,11.035308837890625,0.01964879035949707
57,MX_NES,196113.41084412174,0.10390648251245097,11.288552045822144,0.022379159927368164
58,MX_NOR,197815.39162341753,0.16004328723273678,11.199201822280884,0.01961493492126465
59,MX_NTE,195318.5410030572,0.11772301997748603,11.402858018875122,0.019713640213012695
60,MX_OCC,196943.8977296853,0.12467694164858054,11.266205787658691,0.02043914794921875
61,MX_ORI,199259.15330366624,0.11442720754142863,11.43300986289978,0.021508455276489258
62,MX_PEN,200260.09805284522,0.17406353744736475,11.102210998535156,0.01852726936340332
63,NG,196635.97174149158,0.09911867053245095,12.720859289169312,0.010238885879516602
64,NL,198463.30962682088,0.08373759372636594,15.84818148612976,0.02401423454284668
65,NO,198687.12283969263,0.08525390539155835,11.219475984573364,0.0223388671875
66,NZ,198878.3600980345,0.07794406762764769,11.372373819351196,0.04497265815734863
67,PE,198186.9658173927,0.07287389937490649,12.298353910446167,0.04681754112243652
68,PH,196156.48292658085,0.11659983203821543,11.556005239486694,0.02923130989074707
69,PK,198973.53037137125,0.13349240044983665,11.335453271865845,0.015589237213134766
70,PL,198905.83552318363,0.0674588450598714,11.301361560821533,0.02310657501220703
71,PT,196988.61409816597,0.0869188414944609,11.418268918991089,0.03484153747558594
72,RO,197877.13448875427,0.06607936974723579,11.721819162368774,0.022858619689941406
73,RS,197833.1963707804,0.10250625851347966,11.146902799606323,0.024137496948242188
74,SE,199108.22530033314,0.08470900533667593,11.400171518325806,0.020895957946777344
75,SI,196798.0204914939,0.08482368043413684,11.308265686035156,0.021509885787963867
76,SK,197619.63320381552,0.055626845342903644,11.100123405456543,0.03261137008666992
77,TR,196797.78659233675,0.07874873788900535,12.755862712860107,0.020316362380981445
78,TW,194294.57184624334,0.0726318572349025,16.275002002716064,0.017430543899536133
79,UA,196370.66594919073,0.0679687202827115,12.76923418045044,0.024920225143432617
80,US_CAL,198213.53402589826,0.09091528716334797,12.865400314331055,0.013938665390014648
81,US_CAR,197371.14009971623,0.07926440465691988,13.838302850723267,0.02418661117553711
82,US_CENT,196199.13395098786,0.11767105855321916,14.751225709915161,0.022193431854248047
83,US_FLA,196232.01500620178,0.1593091752922504,14.58955430984497,0.021636486053466797
84,US_MIDA,196736.7006011821,0.10281163789623594,12.540115118026733,0.014356374740600586
85,US_MIDW,197195.82234571708,0.10990396254479426,11.855771541595459,0.02756190299987793
86,US_NE,199200.21467711838,0.11137629414477779,12.259677410125732,0.04978013038635254
87,US_NW,196587.9411965854,0.05910223982543951,12.616177320480347,0.029610157012939453
88,US_NY,0.0864362963925013,40068652.65022779,14.66076111793518,0.026775598526000977
89,US_SE,195272.06962595746,0.09044087913791629,12.753718137741089,0.01384735107421875
90,US_SW,197055.43767618877,0.12378878979516585,11.598540544509888,0.015254974365234375
91,US_TEN,199051.2843049443,0.07983370869490196,11.578840970993042,0.014940977096557617
92,US_TEX,197953.22038156516,0.08578450850715179,11.277565479278564,0.014749765396118164
93,XK,195739.3751968197,0.19561452796313167,11.837786674499512,0.012674093246459961
94,ZA,197221.36384302398,0.10038601383060204,11.219669580459595,0.009930610656738281
