,region_code,MAPE
0,CY,0.10702278129672474
1,GE,0.08023719040799342
2,IN,0.06667546453463502
3,JP_Kantō,0.0766807475923141
4,KR,0.05848438898578672
5,PH,0.05905984324240982
6,PK,0.12202908372628475
7,TR,0.06766938374497146
8,TW,0.06904741184796795
