Model,Scenario,Region,Variable,Unit,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
IIASA 2023,SSP1,Djibouti,GDP|PPP per capita,USD_2021/yr,6248.638132065127,7638.158116047849,9356.338011392476,11445.196096937658,13803.810655567457,16558.965221327064,19536.58356606573,22874.217986352272,26315.845432753642,29833.455825708537,33294.222122318155,36583.72582040889,39644.208529273536,42560.15392474514,45372.25684527266,47161.54093634976
IIASA 2023,SSP1,Denmark,GDP|PPP per capita,USD_2021/yr,67612.87627671151,69630.8109391277,72129.97699109196,75089.13944235878,77982.58546396694,81969.48536037738,86599.42653847547,92151.11139188771,98571.63124214356,105253.72635730251,112002.60410244735,118911.7196728317,125855.00014160776,133020.6074404615,140519.14555107083,144237.60847618867
IIASA 2023,SSP1,Dominican Republic,GDP|PPP per capita,USD_2021/yr,24039.02696186745,27174.656919303427,30746.661816511503,34747.232610576175,39139.542142834005,43639.9111684726,47943.16874148825,52387.781144647175,57099.30369331217,61452.31198642046,65269.669722885206,68514.53052875618,71445.73456733552,74293.39271605648,77021.15841118382,78469.5633925236
IIASA 2023,SSP1,Algeria,GDP|PPP per capita,USD_2021/yr,12619.54655116262,15374.545295014852,18771.120106454215,22695.4416866373,26693.398544095333,30498.525570001504,34322.2342639313,38746.83384795558,43066.08822860765,46721.39518339683,49656.947963130115,52198.58341972896,54734.38137234818,57598.11997779892,61847.98735704151,65977.25540794648
IIASA 2023,SSP1,Ecuador,GDP|PPP per capita,USD_2021/yr,12822.145925885472,15450.298328928864,18432.46585278509,21681.1049110315,24855.413366973127,28018.88623215175,31152.229017370566,34603.46635380981,38056.168164516566,41412.07244183684,44510.76541510972,47301.382888304215,49880.17156538784,52264.35922124382,54633.737432580536,56174.98158296789
IIASA 2023,SSP1,Egypt,GDP|PPP per capita,USD_2021/yr,15613.327757605353,17593.942405196653,20088.286078067227,23223.303756189587,26953.417082454976,31301.744117081867,36030.05782089135,41083.65534928876,45999.34781377595,50819.732219868885,55414.07950417776,59629.56521102776,63874.09357999838,68135.24856084058,72288.40788645622,74908.94789410352
IIASA 2023,SSP1,Eritrea,GDP|PPP per capita,USD_2021/yr,2043.554548783715,2671.4961109382402,3514.304844973689,4644.208579449551,6032.6921756313,7734.82308502897,9638.285974831893,11768.516718655192,13979.02619373412,16316.86287091212,18743.496245134193,21214.759480460303,23655.227027151792,26047.622211271326,28456.284955124785,30278.65957075454
IIASA 2023,SSP1,Spain,GDP|PPP per capita,USD_2021/yr,46555.09437553986,50263.55995300417,54149.82670503923,58679.407688780586,62221.95380965387,65417.749887663995,68293.88807772788,73668.12218074151,79837.84326009516,85502.51179525765,90925.4603412318,97016.64880481448,103887.38410665466,111289.48078272305,118482.10950212511,122731.51999938833
IIASA 2023,SSP1,Estonia,GDP|PPP per capita,USD_2021/yr,44133.409791308884,46188.71954564838,47555.04108988812,50189.26980698715,52590.34800689747,55593.89621968506,58928.245391334334,63957.75741129973,68507.86726429642,72319.82957667897,75797.31232772765,79451.69260485123,83144.4353055598,86770.60749622385,90105.91436105334,91141.86953291752
IIASA 2023,SSP1,Ethiopia,GDP|PPP per capita,USD_2021/yr,3117.475072325486,3759.0672569010067,4598.175138084245,5741.945040551767,7195.2213726684095,9043.62536851259,11170.439820023854,13639.184598524966,16347.064570964672,19288.349499447428,22336.66565661156,25355.176098922228,28225.042065892714,30995.98936784074,33701.478032086714,35648.30419215069
IIASA 2023,SSP1,Finland,GDP|PPP per capita,USD_2021/yr,56424.0160896837,62878.97240686797,68674.64267201547,71566.98200949465,75362.92767253108,78772.24934429213,82915.7177463588,87138.93207237823,92086.29099451227,96897.9627341179,101685.52978164797,107405.04087237906,114240.87938171103,121448.73155716604,128356.82658479027,131447.08874234997
IIASA 2023,SSP1,Fiji,GDP|PPP per capita,USD_2021/yr,15216.120736071212,18054.041452864167,21383.900149385983,24911.9672748463,28396.736804004326,31799.859550106037,35081.015872379394,38684.20468641313,42105.726064525246,45387.247694605816,48281.8355087024,51027.43129398394,53580.12463930808,56237.12065853637,58965.50506514524,60481.949759026946
IIASA 2023,SSP1,France,GDP|PPP per capita,USD_2021/yr,55321.11113240278,60458.4415330095,65232.70079020884,69640.24723534664,74715.38049745091,80192.12217212861,86103.43787546408,92843.14117720463,99726.8647125046,106469.7101345101,113384.55766789976,120528.96574086223,127914.13158947769,135306.55202643463,142432.68034975938,145406.06733874077
IIASA 2023,SSP1,Micronesia,GDP|PPP per capita,USD_2021/yr,584.3405778871896,648.1468748189961,720.8622846933613,819.0093217624662,919.2955489936829,1025.0867035087865,1124.8876945581026,1244.5630296590414,1369.463000562106,1502.5348755341108,1637.070011628833,1768.2963908906083,1890.69922601442,2009.4617500712932,2124.883725978235,2204.4787751156523
