"Model","Scenario","Region","Variable","Unit","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"IIASA-WiC POP 2023","SSP1","Bangladesh","Population","million",166.42699100000002,174.89434,181.60323400000001,186.293089,189.136811,190.64831,190.874384,189.89598600000002,187.700819,184.555269,180.550085,175.75322,170.282878,164.263045,157.793158,150.952818,143.87122300000001
"IIASA-WiC POP 2023","SSP1","Bulgaria","Population","million",7.02023900000001,6.68646,6.446077000000001,6.219932,6.00677500000001,5.809888,5.629558,5.456254,5.281294,5.103555,4.925013,4.75047,4.5859840000000105,4.434116,4.29464,4.1638410000000015,4.029824
"IIASA-WiC POP 2023","SSP1","Bahrain","Population","million",1.494035,1.6196510000000002,1.731858,1.833156,1.926117,2.012017,2.087571,2.147612,2.189711,2.207114,2.200072999999999,2.169342,2.115932,2.043851,1.960715,1.875532,1.791704999999999
"IIASA-WiC POP 2023","SSP1","Bahamas","Population","million",0.405769,0.41481399999999996,0.42322000000000004,0.429782999999999,0.43380199999999997,0.43594600000000006,0.43605200000000005,0.43410099999999996,0.43021299999999996,0.42461099999999996,0.417678,0.40957899999999803,0.400252,0.38958099999999996,0.377369,0.363442,0.34782199999999996
"IIASA-WiC POP 2023","SSP1","Bosnia and Herzegovina","Population","million",3.340977,3.183021,3.071101999999999,2.95169,2.827325,2.703369,2.5818049999999992,2.46333,2.346922,2.236962,2.133749,2.037075,1.9461279999999999,1.859837,1.7775940000000001,1.69888,1.622426
"IIASA-WiC POP 2023","SSP1","Belarus","Population","million",9.661039,9.40588,9.247082,9.098792,8.96547500000001,8.850961,8.737986999999999,8.607963,8.459214,8.296410999999999,8.124806,7.944717,7.754328000000001,7.553928,7.349242,7.147261,6.94482999999999
"IIASA-WiC POP 2023","SSP1","Belize","Population","million",0.392424,0.421717,0.448621,0.471155,0.48932499999999995,0.5048119999999999,0.517707,0.527771,0.5348729999999999,0.5388590000000001,0.539895999999999,0.538030999999999,0.5335030000000001,0.5262669999999999,0.516197,0.503181,0.48705299999999996
"IIASA-WiC POP 2023","SSP1","Bolivia","Population","million",11.862352000000001,12.554825000000001,13.248955,13.839262000000002,14.303482,14.682179,14.949619,15.096366,15.130428,15.083429,14.954664000000001,14.753427,14.478994,14.142399,13.756288000000001,13.332785,12.878381
"IIASA-WiC POP 2023","SSP1","Brazil","Population","million",212.564938,217.00416800000002,220.66621,222.82693400000002,223.453514,222.956295,221.235261,218.38580100000001,214.408676,209.456828,203.632518,197.11297700000003,190.087151,182.71764199999998,175.13649600000002,167.257922,158.863183
"IIASA-WiC POP 2023","SSP1","Barbados","Population","million",0.280426,0.28206400000000004,0.28257699999999997,0.281829999999999,0.27971599999999996,0.276885,0.273277,0.268972,0.26418,0.25909499999999996,0.253886,0.24859699999999998,0.24309799999999998,0.237058,0.23032699999999998,0.222636,0.21327500000000002
"IIASA-WiC POP 2023","SSP1","Brunei Darussalam","Population","million",0.439894,0.45987000000000006,0.47612400000000005,0.48909500000000006,0.499102,0.507195,0.512842999999999,0.515308,0.514728,0.511331,0.50582,0.49868700000000005,0.49005299999999996,0.47977699999999995,0.467584,0.45195199999999996,0.43250500000000003
"IIASA-WiC POP 2023","SSP1","Bhutan","Population","million",0.769996999999999,0.795072,0.8149230000000001,0.8291709999999991,0.8374720000000011,0.841175,0.8398490000000001,0.8335610000000001,0.822429,0.8063980000000001,0.78515,0.758756,0.728001,0.694083000000001,0.658462,0.6223650000000001,0.58628
"IIASA-WiC POP 2023","SSP1","Botswana","Population","million",2.523551,2.728839,2.921393,3.09069,3.235089,3.361056999999999,3.466776,3.53688,3.574957,3.584515,3.56722,3.526396,3.463087,3.381819,3.282768,3.168115,3.037785
"IIASA-WiC POP 2023","SSP1","Central African Republic","Population","million",5.272024,6.007006,6.7668490000000014,7.543109,8.303788,9.068489999999992,9.79684100000001,10.44465,11.009551,11.517347000000001,11.964463,12.342727000000002,12.643438,12.862784,12.992703,13.042783,13.034254
"IIASA-WiC POP 2023","SSP1","Canada","Population","million",37.758236,38.65693,39.483135000000004,40.264983,40.9806939999999,41.670639,42.362036,42.910563,43.350025,43.693804,43.984628,44.192317,44.2365310000001,44.015696000000005,43.374843,42.318186000000004,40.94019600000001
"IIASA-WiC POP 2023","SSP1","Switzerland","Population","million",8.606425999999999,8.85337900000001,9.030524999999999,9.194436,9.35377,9.525589,9.71353000000001,9.877136000000009,10.001612,10.077487999999999,10.11938,10.134036,10.079559999999999,9.941249000000001,9.719361000000001,9.45188,9.169830000000012
"IIASA-WiC POP 2023","SSP1","Chile","Population","million",19.206692,19.550567,19.861461,20.059831,20.132679,20.114683000000003,20.017714,19.827569,19.534399,19.149682000000002,18.691582,18.168602,17.581474,16.922818,16.182589,15.361988,14.487941999999999
"IIASA-WiC POP 2023","SSP1","China","Population","million",1423.9980170000001,1426.4135600000002,1416.905233,1401.086231,1380.363315,1353.8931420000001,1319.430836,1276.179536,1226.38227,1172.845902,1118.2541170000002,1064.5294900000001,1011.626705,958.044798,904.7708220000001,854.614287,808.2906459999999
"IIASA-WiC POP 2023","SSP1","C?te d'Ivoire","Population","million",26.477572000000002,29.461557000000003,32.185031,34.69297,36.946354,39.02796,40.91858800000001,42.4693899999999,43.637252000000004,44.510293,45.108796000000005,45.436989000000004,45.49953,45.352356,45.012727,44.483454,43.758199000000005
"IIASA-WiC POP 2023","SSP1","Cameroon","Population","million",26.137122,29.417339000000002,32.591680000000004,35.6100109999999,38.424018,41.138071000000004,43.718432,45.989237,47.85699700000001,49.374837,50.558334,51.337934000000004,51.773816,51.857365,51.628365,51.112597,50.317326
"IIASA-WiC POP 2023","SSP1","Democratic Republic of the Congo","Population","million",91.33195500000011,106.128885,120.84178,135.38867100000002,149.525181,163.621723,177.04000399999998,189.23471400000003,199.94610699999998,209.25241300000002,217.13050099999998,223.502614,228.184693,231.113355,232.03921100000002,231.04722,228.24507
"IIASA-WiC POP 2023","SSP1","Congo","Population","million",5.635288,6.299866,6.9419530000000105,7.55741100000001,8.12633699999999,8.658409,9.153761000000001,9.569169,9.896155,10.153540999999999,10.338189,10.447337,10.488828999999999,10.47396,10.403793,10.27486,10.082782
"IIASA-WiC POP 2023","SSP1","Colombia","Population","million",50.617025999999996,52.254432,53.731331,54.76224,55.351789,55.598330000000004,55.51264,55.115279,54.415737,53.481648,52.335194,51.007475,49.488183,47.791377999999995,45.939528,43.953015,41.864942000000006
"IIASA-WiC POP 2023","SSP1","Comoros","Population","million",0.798327,0.874155,0.943155,1.004507,1.058256,1.107148,1.148974999999999,1.181252999999999,1.202501,1.2159900000000001,1.220798,1.2182870000000001,1.207923,1.191294,1.169207,1.14201,1.11002
"IIASA-WiC POP 2023","SSP1","Cabo Verde","Population","million",0.579929,0.6054210000000001,0.626505,0.641396,0.651087,0.6567379999999999,0.6581440000000001,0.655003999999999,0.6477310000000001,0.637660999999999,0.6250019999999991,0.609862999999999,0.5924750000000001,0.572913,0.5516869999999999,0.529270999999999,0.5062730000000001
"IIASA-WiC POP 2023","SSP1","Costa Rica","Population","million",5.105361,5.244154000000001,5.372717000000009,5.47068200000001,5.535824,5.574707999999999,5.581988000000001,5.558868,5.50621800000001,5.4279530000000005,5.328399999999999,5.207688,5.063308,4.892905,4.6970659999999995,4.479343,4.244951
"IIASA-WiC POP 2023","SSP1","Cuba","Population","million",11.309226,11.201332,11.115738,10.980549000000002,10.797539,10.576110000000002,10.315156000000002,10.004719999999999,9.651236,9.274127000000009,8.902419999999989,8.550875,8.224261,7.900716,7.561242,7.198828000000001,6.8263110000000005
"IIASA-WiC POP 2023","SSP1","Cura?ao","Population","million",0.188601,0.19469000000000003,0.20050800000000002,0.20560299999999998,0.20990399999999998,0.213765999999999,0.21714000000000003,0.22009,0.222629,0.22402799999999998,0.22421700000000003,0.223102,0.22056599999999998,0.21642899999999998,0.21073499999999998,0.20362200000000003,0.195384
"IIASA-WiC POP 2023","SSP1","Cyprus","Population","million",1.233777,1.285154,1.317261,1.345559999999999,1.372765,1.400869999999999,1.4290340000000001,1.451551,1.466787,1.472626,1.470262999999999,1.459838,1.439856,1.4085830000000001,1.3667280000000002,1.318609999999999,1.268821
"IIASA-WiC POP 2023","SSP1","Czechia","Population","million",10.537908,10.858204,10.734965,10.599186,10.479507,10.393348,10.329671000000001,10.261845,10.166683,10.024977999999999,9.84157900000001,9.631876,9.416621,9.207519,8.997387000000002,8.767466,8.511978
"IIASA-WiC POP 2023","SSP1","Germany","Population","million",83.267652,83.67015300000001,83.24960300000001,82.81596,82.42672400000001,82.148696,81.8761000000001,81.433404,80.739017,79.836564,78.93078200000001,78.0944190000001,77.184072,75.960414,74.15058900000001,71.71835899999999,68.905023
"IIASA-WiC POP 2023","SSP1","Djibouti","Population","million",1.082341,1.145615,1.198276,1.240829,1.27258,1.296317,1.3096109999999999,1.3130600000000001,1.305774,1.290897999999999,1.269702,1.242527,1.209272,1.170277,1.125751,1.076776,1.025081
"IIASA-WiC POP 2023","SSP1","Denmark","Population","million",5.810771,5.907447,5.975479,6.03549,6.084258,6.132168,6.188542000000001,6.237931,6.277437,6.305039,6.326722,6.346957000000001,6.363778000000001,6.36646,6.33662,6.243068,6.09836999999999
"IIASA-WiC POP 2023","SSP1","Dominican Republic","Population","million",10.939341,11.483447,11.917178,12.246332,12.463707000000001,12.591019000000001,12.643558,12.624767,12.538966,12.402486000000001,12.221129000000001,12.001832,11.747066,11.462369,11.149334999999999,10.809712,10.441973
"IIASA-WiC POP 2023","SSP1","Algeria","Population","million",43.0909919999999,46.489671,49.1854889999999,51.363636,53.239932,54.998863,56.524866,57.566367,58.053923000000005,58.05242500000001,57.70432,57.133663,56.4124679999999,55.567665999999996,54.615303000000004,53.577029,52.441982
"IIASA-WiC POP 2023","SSP1","Ecuador","Population","million",17.487158,18.33416,19.086577000000002,19.670662,20.080258,20.379222000000002,20.561118999999998,20.62127,20.558975999999998,20.396766,20.144967,19.80884,19.394344,18.906417,18.34826,17.713675,16.993165
"IIASA-WiC POP 2023","SSP1","Egypt","Population","million",106.538717,115.44283300000001,123.87952000000001,131.831456,139.245789,146.122766,151.99535,156.699872,160.225685,162.614032,163.990047,164.551937,164.406404,163.59549900000002,162.269721,160.36160800000002,157.840698
"IIASA-WiC POP 2023","SSP1","Eritrea","Population","million",3.5236520000000002,3.808395,4.066072,4.292725000000001,4.475246,4.61981100000001,4.721656,4.77896,4.794442,4.787308,4.7555,4.6996220000000015,4.624082,4.529122,4.415986,4.285615,4.143312
"IIASA-WiC POP 2023","SSP1","Western Sahara","Population","million",0.551241,0.594124999999999,0.6295050000000011,0.659432999999998,0.685035,0.707711,0.727108,0.742308,0.752510999999999,0.7556820000000001,0.7523780000000001,0.743351,0.730059999999999,0.713334000000001,0.6931860000000001,0.669082,0.640512
"IIASA-WiC POP 2023","SSP1","Spain","Population","million",47.329955000000005,47.633753,47.915805999999996,48.2772989999999,48.733951000000005,49.281425000000006,49.894903,50.266722,50.351312,50.128274,49.687205000000006,49.06805000000001,48.27228,47.167332,45.9034199999999,44.475806,42.824446
"IIASA-WiC POP 2023","SSP1","Estonia","Population","million",1.329091,1.349108,1.315588,1.285628,1.260861,1.241575,1.22493,1.207296,1.187262,1.1653,1.1419030000000001,1.117728,1.093053,1.067711,1.041785,1.016029,0.9904519999999991
"IIASA-WiC POP 2023","SSP1","Ethiopia","Population","million",115.638354,129.120171,141.42536900000002,152.826425,163.164973,172.847415,181.569646,188.977457,194.90644500000002,199.240849,202.091216,203.319101,202.967923,201.23300700000001,198.241175,194.086022,188.916517
"IIASA-WiC POP 2023","SSP1","Finland","Population","million",5.525213,5.5420359999999995,5.5287700000000015,5.518629,5.50964,5.5043050000000004,5.510260000000001,5.503463,5.491714,5.48258500000001,5.479914,5.476432,5.45642,5.385196,5.270581,5.123092,4.96007
"IIASA-WiC POP 2023","SSP1","Fiji","Population","million",0.9180899999999991,0.938174,0.948882999999999,0.9511719999999999,0.946228,0.935684,0.919389,0.8986119999999991,0.8740140000000001,0.8493249999999991,0.824097,0.7988179999999999,0.774401,0.750984999999999,0.729035,0.708083999999999,0.6878780000000001
"IIASA-WiC POP 2023","SSP1","France","Population","million",64.45775499999999,65.135121,65.83069800000001,66.59905400000011,67.371394,68.06711,68.62154799999999,68.9569200000001,69.158215,69.28904399999999,69.389054,69.436174,69.36565,69.074885,68.369217,67.35293399999999,66.06505800000001
"IIASA-WiC POP 2023","SSP1","Micronesia","Population","million",0.6408830000000001,0.6647959999999999,0.683327999999999,0.695187,0.7000309999999991,0.7008829999999999,0.697020999999999,0.6881659999999999,0.675,0.6608029999999999,0.646011,0.6310689999999991,0.615709,0.5997300000000001,0.582727,0.564901,0.546519
"IIASA-WiC POP 2023","SSP1","Gabon","Population","million",2.267994,2.500404,2.715635,2.910361,3.085376,3.247478,3.396814,3.518941,3.607806,3.664391,3.690845,3.6951169999999998,3.680973,3.650036,3.6035880000000002,3.540367,3.460314
