,region_code,MAPE
0,AT,0.07695533232501195
1,BA,0.0938224071006515
2,BE,0.05157783425529956
3,BG,0.06925945023613418
4,CH,0.0662020615561869
5,CZ,0.05653432910239702
6,DE,0.0706447666360316
7,DK,0.07051112014084351
8,EE,0.06746165286726737
9,ES,0.05670695984015053
10,FI,0.05604526363667311
11,FR,0.1120661238759158
12,GB,0.07028118471624224
13,GB_GB,0.06894402988180853
14,GR,0.08049501482567045
15,HR,0.0786287683899963
16,HU,0.05696796579929659
17,IE,0.054197141593105194
18,IT,0.10714438184468392
19,LT,0.06925290403995421
20,LU,0.10212954214117713
21,LV,0.07160527025575081
22,ME,0.10305611967646729
23,MK,0.12625380828806293
24,NL,0.07898849383284678
25,NO,0.08506157611771012
26,PL,0.06099897561562624
27,PT,0.06518430587037384
28,RO,0.04968515066322948
29,RS,0.09055808224466647
30,SE,0.08540334140926807
31,SI,0.06985520917403862
32,SK,0.04502061675606069
33,UA,0.053804961121785
