entity_code,entity_name,historical_population,historical_population_first_year,historical_population_last_year,historical_electricity_demand_per_capita,historical_electricity_demand_per_capita_first_year,historical_electricity_demand_per_capita_last_year,historical_gdp_ppp_per_capita,historical_gdp_ppp_per_capita_first_year,historical_gdp_ppp_per_capita_last_year,future_population,future_gdp_ppp_per_capita,future_electricity_demand_per_capita,area_greater_than_500_km2
BRA_PE,Subdivision of Brazil,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
BRA_PI,Subdivision of Brazil,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
BRA_PR,Subdivision of Brazil,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
BRA_RJ,Subdivision of Brazil,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
BRA_RN,Subdivision of Brazil,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
BRA_RO,Subdivision of Brazil,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
BRA_RR,Subdivision of Brazil,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
BRA_RS,Subdivision of Brazil,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
BRA_S,Subdivision of Brazil,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
BRA_SC,Subdivision of Brazil,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
BRA_SE,Subdivision of Brazil,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
BRA_SP,Subdivision of Brazil,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
BRA_TO,Subdivision of Brazil,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
BRB,Barbados,True,1960.0,2024.0,True,2000.0,2023.0,True,1980.0,2024.0,True,True,True,False
BRN,Brunei Darussalam,True,1960.0,2024.0,True,1990.0,2023.0,True,1985.0,2024.0,True,True,True,True
BTN,Bhutan,True,1960.0,2024.0,True,2000.0,2023.0,True,1980.0,2024.0,True,True,True,True
BWA,Botswana,True,1960.0,2024.0,True,1990.0,2023.0,True,1980.0,2024.0,True,True,True,True
CAF,Central African Republic,True,1960.0,2024.0,True,2000.0,2022.0,True,1980.0,2024.0,True,True,True,True
CAN,Canada,True,1960.0,2024.0,True,1990.0,2024.0,True,1980.0,2024.0,True,True,True,True
CAN_AB,Subdivision of Canada,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
CAN_BC,Subdivision of Canada,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
CAN_MB,Subdivision of Canada,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
CAN_NB,Subdivision of Canada,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
CAN_NL,Subdivision of Canada,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
CAN_NS,Subdivision of Canada,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
CAN_NT,Subdivision of Canada,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
CAN_NU,Subdivision of Canada,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
CAN_ON,Subdivision of Canada,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
CAN_PE,Subdivision of Canada,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
CAN_QC,Subdivision of Canada,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
CAN_SK,Subdivision of Canada,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
CAN_YT,Subdivision of Canada,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
CHE,Switzerland,True,1960.0,2024.0,True,1990.0,2024.0,True,1980.0,2024.0,True,True,True,True
CHL,Chile,True,1960.0,2024.0,True,1990.0,2024.0,True,1980.0,2024.0,True,True,True,True
