,region_code,MAPE
0,AL,0.20599283604407917
1,AT,0.07682993120539304
2,AU_NSW,0.0656732102059849
3,AU_QLD,0.059620282054833044
4,AU_SA,0.10693798864862421
5,AU_TAS,0.06715828992321557
6,AU_VIC,0.06396265042093648
7,AU_WA,0.09081832102871207
8,BA,0.11069105886977092
9,BE,0.05294814193172399
10,BG,0.07846747718374128
11,BR_N,0.05190480269622652
12,BR_NE,0.05615120446722552
13,BR_S,0.09067291081102344
14,BR_SE,0.06844874331717805
15,CA_AB,0.054935809449443214
16,CA_BC,0.052906851272534486
17,CA_NB,0.09854771025976325
18,CA_NL,0.1349197012359029
19,CA_NS,0.08779766763811901
20,CA_ON,0.06760156839764901
21,CA_PE,0.06674355879708276
22,CA_QC,0.1132460360867521
23,CH,0.07560256399925153
24,CL,0.0735823363195536
25,CO,0.05922026881293273
26,CY,0.11000828865178654
27,CZ,0.06074417292458317
28,DE,0.07006901012697736
29,DK,0.06831326825969679
30,DZ,0.08739083294872589
31,EE,0.06857532530519944
32,ES,0.06618248125265405
33,FI,0.052235485045995685
34,FR,0.1100663838540294
35,GB,0.07916634745880571
36,GB_GB,0.08005041730887212
37,GE,0.06852810180186408
38,GR,0.07859962601445339
39,HR,0.07058925682142929
40,HU,0.05676186122201553
41,IE,0.06139747173262236
42,IN,0.07964350271320825
43,IT,0.1108435493537773
44,JP_Kantō,0.07437971935927187
45,KR,0.05955368036275537
46,LT,0.07074772947096525
47,LU,0.08501602759694402
48,LV,0.07768279822154482
49,MD,0.09221442189689032
50,ME,0.10131090026828843
51,MK,0.13628910666528232
52,MX_BCA,0.13835723091834579
53,MX_BCS,0.09177268939865069
54,MX_CEN,0.1190761907712889
55,MX_NES,0.0915178012836332
56,MX_NOR,0.1339073849303543
57,MX_NTE,0.1046466090836027
58,MX_OCC,0.12807934306195046
59,MX_ORI,0.11176232395638694
60,MX_PEN,0.1395065726785941
61,NL,0.08179692279363848
62,NO,0.07726073418986912
63,NZ,0.06770343597441074
64,PE,0.05306830524536245
65,PH,0.06618522593894205
66,PK,0.11065200165077467
67,PL,0.06375060932211864
68,PT,0.07509628745517584
69,RO,0.05498370412522922
70,RS,0.09134651055176757
71,SE,0.07729385420142458
72,SI,0.07233324902767684
73,SK,0.0527108547961088
74,TR,0.07002022966687475
75,TW,0.06026438582568267
76,UA,0.06353427660016428
77,US_CAL,0.09736333902154122
78,US_CAR,0.0850088653559388
79,US_CENT,0.09163490325699414
80,US_FLA,0.12386435041525871
81,US_MIDA,0.09743243868042577
82,US_MIDW,0.09604589776358075
83,US_NE,0.10463166142862453
84,US_NW,0.06394706057969718
85,US_NY,0.0951929499401139
86,US_SE,0.09020836508504244
87,US_SW,0.10783799423398895
88,US_TEN,0.08411964257741592
89,US_TEX,0.07725471962354066
90,XK,0.17546300422519318
91,ZA,0.10770847033128587
